Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,log_T0/T,Training_R2,Testing_R2
9.2657,-0.4947,-0.2822,-0.2094,3.7206,10.5609,0.9776803325184892,0.9559962912413144
9.2657,-0.4947,-0.2822,-0.2094,3.7206,10.5609,0.9776803325184891,0.9559962912413145
