Constant,log_P(atm),log_Fuel(%),T0/S_H__T,log_T0/T,Training_R2,Testing_R2
7.6489,-0.4802,-0.5215,5.0347,9.7745,0.9579613875673639,0.9701807298780646
7.6489,-0.4802,-0.5215,5.0347,9.7745,0.957961387567364,0.9701807298780646
