,Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source
330,CCCCCCCCCCCC,1496,,2.22,,0.048,0.75,99.202,1,N2,242,Speceis,CH,,430,15.3,Stanford,n_Dodecane_Nano
273,CCCCCCCCCCCC,1118,±1,6.18,±9.3,0.5678,21,78.4322,0.5,Ar,1081,Speceis,CH,,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
395,CCCCCCCCCCCC,1222,±1,15.84,,0.075,2.786,97.139,0.5,N2,625,Species,OH,±5,306,5,Stanford,n_Dodecane / Vasu_2010_thesis
333,CCCCCCCCCCCC,1407,,2.28,,0.046,0.7617,99.1923,1,N2,791,Speceis,CH,,430,15.3,Stanford,n_Dodecane_Nano
259,CCCCCCCCCCCC,964,±1,5.82,±9.3,1.289,21,77.711,1.14,Ar,1175,Speceis,CH,,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
375,CCCCCCCCCCCC,1036,±1,22.1,,1.123,20.77,78.107,1,N2,432,Species,OH,±5,306,5,Stanford,n_Dodecane / Vasu_2010_thesis
398,CCCCCCCCCCCC,1422,±1,15.5,,0.1,3.7,96.2,0.5,N2,30,Species,OH,±5,306,5,Stanford,n_Dodecane / Vasu_2010_thesis
300,CCCCCCCCCCCC,1049,±1,5.76,±9.3,0.5734,21,78.4266,0.51,Ar,2581,Speceis,CH,,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
339,CCCCCCCCCCCC,1618,,2.14,,0.048,0.7635,99.1885,1,N2,96,Speceis,CH,,430,15.3,Stanford,n_Dodecane_Nano
283,CCCCCCCCCCCC,954,±1,5.05,±9.3,1.158,21,77.842,1.02,Ar,4169,Speceis,CH,,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
265,CCCCCCCCCCCC,1249,±1,6.23,±9.3,0.7572,21,78.2428,0.67,Ar,114,Speceis,CH,,430,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
353,CCCCCCCCCCCC,1117,±1,30.9,,0.565,20.89,78.545,0.5,N2,266,Species,OH,±5,306,5,Stanford,n_Dodecane / Vasu_2010_thesis
37,CCCCCCCCCCCCCCCC,1333,±2,6.77,,0.0493,1,98.9507,1.21,Ar,917,Species,CH,±2,431,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
38,CCCCCCCCCCCCCCCC,1327,±2,6.46,,0.1832,4,95.8168,1.12,Ar,360,Species,CH,±2,431,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
39,CCCCCCCCCCCCCCCC,1355,±2,4.19,,0.1023,4,95.8977,0.63,Ar,212,Species,CH,±2,431,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
40,CCCCCCCCCCCCCCCC,1183,±2,2.05,,0.1207,4,95.8793,0.74,Ar,4264,Species,CH,±2,431,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
41,CCCCCCCCCCCCCCCC,1159,±2,2.06,,0.092,4,95.908,0.56,Ar,3870,Species,CH,±2,431,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
42,CCCCCCCCCCCCCCCC,1181,±2,2.13,,0.1776,4,95.8224,1.09,Ar,5536,Species,CH,±2,431,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
43,CCCCCCCCCCCCCCCC,1266,±2,1.94,,0.1168,4,95.8832,0.72,Ar,1122,Species,CH,±2,431,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
44,CCCCCCCCCCCCCCCC,1212,±2,1.91,,0.0909,4,95.9091,0.56,Ar,2270,Species,CH,±2,431,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
45,CCCCCCCCCCCCCCCC,1247,±2,1.83,,0.1485,4,95.8515,0.91,Ar,2060,Species,CH,±2,431,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
46,CCCCCCCCCCCCCCCC,1285,±2,1.89,,0.1582,4,95.8418,0.97,Ar,1386,Species,CH,±2,431,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
47,CCCCCCCCCCCCCCCC,1353,±2,1.71,,0.1565,4,95.8435,0.96,Ar,708,Species,CH,±2,431,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
48,CCCCCCCCCCCCCCCC,1165,±2,2.08,,0.129,4,95.871,0.79,Ar,4548,Species,CH,±2,431,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
49,CCCCCCCCCCCCCCCC,1177,±2,2.03,,0.1571,4,95.8429,0.96,Ar,4778,Species,CH,±2,431,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
50,CCCCCCCCCCCCCCCC,1218,±2,1.96,,0.1165,4,95.8835,0.71,Ar,2657,Species,CH,±2,431,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
51,CCCCCCCCCCCCCCCC,1231,±2,1.86,,0.1254,4,95.8746,0.77,Ar,2137,Species,CH,±2,431,15.3,Stanford,n_hexadecane / hexadecane_diesel/Haylett_2011_thesis
