log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T
3.9815490681,0.6280751838,3.0252910758,0.0987166831,0.9871668312
2.8166056077,0.6280751838,3.0252910758,0.0954198473,0.9541984733
3.9926809084,0.6280751838,3.0252910758,0.0977517107,0.9775171065
0.1906203596,0.1823215568,1.887069649,0.0659630607,0.6596306069
0.1988508587,-0.9162907319,0.7884573604,0.0617665225,0.6176652254
0.292669614,-0.9162907319,2.1747517215,0.0743494424,0.7434944238
0.8162493777,-3.5065578973,-1.1086626245,0.0665778961,0.6657789614
0.6881346387,0.6280751838,3.0252910758,0.0725689405,0.7256894049
1.7387102481,-0.9162907319,1.4816045409,0.0703729768,0.7037297678
4.0792309244,0.6280751838,3.0252910758,0.0973709834,0.9737098345
1.4255150743,-0.9162907319,1.4816045409,0.0707714084,0.7077140835
0.2623642645,-0.9162907319,2.1747517215,0.0742390497,0.7423904974
0.760805829,-3.5065578973,-1.1086626245,0.0644745326,0.6447453256
0.2390169005,0.1823215568,2.1747517215,0.0709723208,0.7097232079
2.4680995315,0.6280751838,3.0252910758,0.0775193798,0.7751937984
0.1739533071,0.5596157879,2.9806186357,0.0752445448,0.7524454477
2.7166795278,-2.302585093,0.7884573604,0.081366965,0.8136696501
0.7561219797,-0.9162907319,1.4816045409,0.0687285223,0.6872852234
0.1988508587,-0.9162907319,1.5686159179,0.0695410292,0.6954102921
0.8903573498,-3.5065578973,-1.1086626245,0.0736377025,0.736377025
2.7265447837,-2.302585093,0.7884573604,0.0809061489,0.8090614887
0.2546422184,0.1823215568,2.1747517215,0.0708717222,0.7087172218
0.7227059828,-0.9162907319,1.4816045409,0.0665335995,0.6653359947
0.2623642645,0.1823215568,2.5802168296,0.074906367,0.7490636704
0.7323678937,-1.6094379124,0.7884573604,0.0666222518,0.6662225183
2.9917242522,0.6280751838,3.0252910758,0.1176470588,1.1764705882
2.3272777056,0.6280751838,3.0252910758,0.0769822941,0.7698229407
0.1570037488,-0.2231435513,2.1747517215,0.0701262272,0.7012622721
2.7080502011,-2.302585093,0.7884573604,0.0786782061,0.7867820614
3.9569963711,0.6280751838,3.0252910758,0.0896860987,0.8968609865
0.1823215568,0.1823215568,2.5802168296,0.0741289844,0.7412898443
0.7323678937,-0.9162907319,1.4816045409,0.0676589986,0.6765899865
1.7173950539,-0.9162907319,1.4816045409,0.0728862974,0.7288629738
0.1988508587,-0.9162907319,0.7884573604,0.0596658711,0.5966587112
4.0145795938,0.6280751838,3.0252910758,0.1072961373,1.0729613734
0.6365768291,0.6280751838,3.0252910758,0.0769822941,0.7698229407
0.6780335427,0.6280751838,3.0252910758,0.0800640512,0.8006405124
0.2546422184,-0.9162907319,2.1747517215,0.0742390497,0.7423904974
1.4134230285,-0.9162907319,1.4816045409,0.0683526999,0.6835269993
1.7281094422,-0.9162907319,1.4816045409,0.0714285714,0.7142857143
1.3001916621,-3.5065578973,-1.1086626245,0.0649350649,0.6493506494
0.1988508587,-1.0216512475,1.4816045409,0.0670241287,0.6702412869
3.9871304779,0.6280751838,3.0252910758,0.1100110011,1.100110011
0.1823215568,-0.9162907319,2.1747517215,0.0687285223,0.6872852234
0.2070141694,-0.9162907319,2.1747517215,0.0716332378,0.7163323782
3.9721769282,0.6280751838,3.0252910758,0.0940733772,0.9407337723
4.0943445622,0.6280751838,3.0252910758,0.1083423619,1.0834236186
0.1823215568,0.1823215568,1.887069649,0.0702740689,0.7027406887
0.858661619,-3.5065578973,-1.1086626245,0.0664010624,0.6640106242
0.8441500541,-3.5065578973,-1.1086626245,0.0725689405,0.7256894049
0.476234179,-2.9957322736,-0.5978370008,0.064683053,0.6468305304
1.393766376,-0.9162907319,1.4816045409,0.0677506775,0.6775067751
0.2151113796,0.5596157879,2.9806186357,0.0721500722,0.7215007215
1.7369512327,-0.9162907319,1.4816045409,0.0727272727,0.7272727273
0.231111721,-0.9162907319,0.7884573604,0.0654022237,0.6540222368
0.7654678421,-1.6094379124,0.7884573604,0.0698324022,0.6983240223
2.9892110566,0.6280751838,3.0252910758,0.1103752759,1.1037527594
0.2231435513,-1.0216512475,1.4816045409,0.0677506775,0.6775067751
0.7677907236,-3.5065578973,-1.1086626245,0.0669344043,0.6693440428
1.6882490929,-0.9162907319,1.4816045409,0.0704721635,0.704721635
1.32175584,-3.5065578973,-1.1086626245,0.0584795322,0.5847953216
0.760805829,-0.9162907319,1.4816045409,0.0708215297,0.7082152975
0.1397619424,-0.2231435513,2.1747517215,0.0725689405,0.7256894049
0.2070141694,-0.9162907319,1.4816045409,0.067294751,0.6729475101
3.9120230054,0.6280751838,3.0252910758,0.0946073794,0.9460737938
0.2390169005,-0.9162907319,1.4816045409,0.0685871056,0.6858710562
1.7316555452,-0.9162907319,1.4816045409,0.0693481276,0.693481276
0.2390169005,0.1823215568,2.5802168296,0.0709723208,0.7097232079
2.4194788445,0.6280751838,3.0252910758,0.0809061489,0.8090614887
2.3292270239,0.6280751838,3.0252910758,0.0744047619,0.744047619
0.2776317366,-0.9162907319,2.1747517215,0.0707714084,0.7077140835
2.7606426512,-2.302585093,0.7884573604,0.081300813,0.8130081301
4.1042948931,0.6280751838,3.0252910758,0.1079913607,1.0799136069
0.8250522514,-3.5065578973,-1.1086626245,0.0727272727,0.7272727273
1.0508216248,-3.5065578973,-1.1086626245,0.0730994152,0.730994152
2.9957322736,0.6280751838,3.0252910758,0.1240694789,1.2406947891
0.6151856391,0.6280751838,3.0252910758,0.0736377025,0.736377025
0.7884573604,-1.6094379124,1.1314021115,0.0445156695,0.7122507123
0.2151113796,-1.6094379124,1.1314021115,0.0429258242,0.6868131868
0.7466879475,-3.5065578973,-0.5418004281,0.042749658,0.683994528
1.6370530795,0.3646431136,3.0445224377,0.0578168363,0.9250693802
0.7323678937,-3.5065578973,-0.7657178734,0.037627935,0.6020469597
1.5173226235,0.3866220203,3.0445224377,0.0563570784,0.9017132552
0.2070141694,-1.6094379124,1.1314021115,0.0425170068,0.6802721088
0.7080357931,-3.5065578973,-0.5418004281,0.0409567497,0.6553079948
0.7929925155,-3.5065578973,-0.7657178734,0.0409836066,0.6557377049
0.5247285289,-3.399199379,-0.2070241694,0.0470987189,0.7535795026
0.231111721,-1.6094379124,1.1314021115,0.0447387258,0.7158196135
0.7514160887,-3.5065578973,-0.7657178734,0.039707751,0.6353240152
0.7654678421,-3.5065578973,-0.7657178734,0.0366354045,0.5861664713
0.476234179,-3.3104430184,-0.2070241694,0.0410104987,0.656167979
0.2151113796,-0.0512932944,1.8229350867,0.2,0.8
0.1739533071,0.6931471806,2.5649493575,0.1677852349,0.6711409396
0.1222176327,0,1.1786549963,0.1545117429,0.6180469716
0.2070141694,-0.0512932944,1.8229350867,0.1959247649,0.7836990596
0.6780335427,0,1.8718021769,0.1702997275,0.6811989101
0.1310282624,0,1.8718021769,0.1667778519,0.6671114076
0.2776317366,0,1.8718021769,0.1685772084,0.6743088334
0.1655144385,-0.6931471806,1.1786549963,0.1652346332,0.6609385327
1.6714733034,-0.0512932944,1.8229350867,0.1692620176,0.6770480704
0.1823215568,0,1.8718021769,0.1691474966,0.6765899865
0.1570037488,0.6931471806,2.5649493575,0.1745810056,0.6983240223
1.6900958155,-0.0512932944,1.8229350867,0.162022035,0.64808814
0.7080357931,0,1.8718021769,0.1785714286,0.7142857143
1.3376291891,0,1.8718021769,0.1786990708,0.7147962831
1.6937790609,-0.0512932944,1.8229350867,0.2032520325,0.8130081301
0.2390169005,-0.6931471806,1.1786549963,0.1744591766,0.6978367062
1.6677068206,-0.0512932944,1.8229350867,0.1785714286,0.7142857143
0.0295588022,0,1.1786549963,0.150060024,0.600240096
0.1655144385,0.6931471806,2.5649493575,0.1805054152,0.7220216606
0.6931471806,0,1.8718021769,0.1719394773,0.6877579092
0.7701082217,-2.9957322736,-1.1239300967,0.163291966,0.6531678641
0.1397619424,0.6931471806,2.5649493575,0.1743375174,0.6973500697
0.2151113796,-0.0512932944,1.8229350867,0.1577287066,0.6309148265
0.1397619424,0.6931471806,2.5649493575,0.1718213058,0.6872852234
0.2070141694,-0.0512932944,1.8229350867,0.1654533422,0.6618133686
0.1222176327,0,1.8718021769,0.1605651895,0.6422607579
0.2851789422,-0.6931471806,1.1786549963,0.1631853786,0.6527415144
0.0676586485,0,1.1786549963,0.1622323167,0.6489292667
0.1655144385,0,1.8718021769,0.1779359431,0.7117437722
0.39877612,-0.0512932944,1.8229350867,0.1803751804,0.7215007215
0.1310282624,0,1.8718021769,0.1727712509,0.6910850035
0.7030975114,-2.9957322736,-1.1239300967,0.1419647927,0.5678591709
0.1823215568,-0.6931471806,1.1786549963,0.1691474966,0.6765899865
0.1570037488,-0.6931471806,1.1786549963,0.1601537476,0.6406149904
0.1043600153,0,2.5649493575,0.1770538244,0.7082152975
0.0769610411,0,2.5649493575,0.1758087201,0.7032348805
0.1739533071,0,1.8718021769,0.1779359431,0.7117437722
0.1133286853,0,1.8718021769,0.1661129568,0.6644518272
0.2151113796,-0.0512932944,1.8229350867,0.1724137931,0.6896551724
0.7227059828,-2.9957322736,-1.1239300967,0.1564455569,0.6257822278
0.6881346387,0,1.8718021769,0.1776830135,0.710732054
0.1043600153,0,2.5649493575,0.1805054152,0.7220216606
1.6974487898,-0.0512932944,1.8229350867,0.1951600312,0.7806401249
0.3148107398,-0.6931471806,1.1786549963,0.1617076326,0.6468305304
0.0582689081,0,1.1786549963,0.1536570375,0.61462815
0.1310282624,0,2.5649493575,0.1849112426,0.7396449704
0.0769610411,0,1.1786549963,0.1441753172,0.5767012687
0.1222176327,0,1.1786549963,0.1585288523,0.634115409
