Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source
CCC,1095,±0.7,6.39,±1,0.8,8,91.2,0.5,Ar,7100,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1069,±0.7,6.77,±1,0.8,8,91.2,0.5,Ar,10190,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1052,±0.7,6.79,±1,0.8,8,91.2,0.5,Ar,12680,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1051,±0.7,6.82,±1,0.8,8,91.2,0.5,Ar,12470,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1044,±0.7,6.67,±1,0.8,8,91.2,0.5,Ar,16380,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1033,±0.7,6.73,±1,0.8,8,91.2,0.5,Ar,17900,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1027,±0.7,6.8,±1,0.8,8,91.2,0.5,Ar,21230,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1021,±0.7,6.59,±1,0.8,8,91.2,0.5,Ar,20940,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V
CCC,1289,±0.7,27.1,±1,0.8,8,91.2,0.5,Ar,200,Species,OH,±1,306.7,5,Stanford,Lam_2013_thesis / propane_const_V
CCC,1260,±0.7,21.9,±1,0.8,8,91.2,0.5,Ar,330,Species,OH,±1,306.7,5,Stanford,Lam_2013_thesis / propane_const_V
CCC,1221,±0.7,25.2,±1,0.8,8,91.2,0.5,Ar,510,Species,OH,±1,306.7,5,Stanford,Lam_2013_thesis / propane_const_V
