T0/S_H__T,T0/T,log_Fuel(%),log_Oxidizer(%),log_P(atm)
0.07975281691908273,0.7892340532785901,-1.3830465127305869,1.2296866959365556,1.2049619746108795
0.08015347642402816,0.7970767102887338,-1.2786911018385565,1.353181894462299,1.2398944756901018
0.07267377742741897,0.7835664537570692,-1.3935013551259408,1.2406099680047478,1.206389412426567
0.07998226894514276,0.7921394262820745,-1.3769547844884014,1.25106900668717,1.2304051394993338
0.0781331733603797,0.7990940677353386,-1.3848554483067748,1.283039981238395,1.249948908852424
0.08077772784966157,0.7913761953754954,-1.3181818319828462,1.3074013471238983,1.2249976879713185
0.08264143511513128,0.7976254230850035,-1.2509111421152046,1.341201251501297,1.2285804899551651
0.08177176214243871,0.7903380096491699,-1.341543476890786,1.2534732825846269,1.163256390858331
0.07884127609158907,0.7925550941779644,-1.2913255747624357,1.3252236475562975,1.1695662921974284
0.07821250126924466,0.7837939836240592,-1.427581619851107,1.196288507131898,1.2134073559655385
0.08246948329572057,0.7924593646897247,-1.3235382261983568,1.2519355895754347,1.1735781129718692
0.07993274835215194,0.7996630776567827,-1.2209368506603917,1.3664443073301462,1.203777135893218
0.07954547578896505,0.788263067231365,-1.378157649353662,1.2062272834000345,1.1880263196278908
0.08224151592061556,0.7870715384740626,-1.3117925011932217,1.2417656971412845,1.1708967013827638
0.08093497782072337,0.7980046870268306,-1.3029642987956265,1.3235314152176996,1.2337145499530195
0.07776265378949725,0.7913727358092911,-1.4562645423011982,1.17108896624099,1.1549402426837472
0.07897392216642403,0.7898232623370378,-1.396757834184898,1.2178308788001744,1.265297814343721
0.0792502311791375,0.7874938399340518,-1.3030030053579544,1.3071396935090454,1.1338501843067943
0.07799010421981974,0.7886729733261204,-1.3643867696659413,1.2747838965004077,1.2098961481861292
0.08089982991220833,0.7905190528098212,-1.4165645790436718,1.2076432747959662,1.2102924178755772
0.07662840845725193,0.7898901755873121,-1.4094641201583262,1.2068980091269343,1.2169628822178815
0.07701956394878992,0.7875612756123498,-1.3645348271581184,1.2666141612433324,1.2443579111737637
0.08121083732699713,0.7866616638362424,-1.3507615276487526,1.2577878033880034,1.173154563172799
0.07534918293384321,0.7981422040596401,-1.3728986222787125,1.3191741641594508,1.2335131679714717
0.07668922638315534,0.7810443955969202,-1.3137619497106146,1.3054055202773038,1.2010181115642535
0.07952168549487099,0.7971757147940701,-1.3910754216859518,1.2872125131287795,1.2700067691536547
0.07933677205055288,0.7840045931059143,-1.3587582405618976,1.2485687831738068,1.1971625276540168
0.07831557775604638,0.783413467212418,-1.2741853162840082,1.3188216219928175,1.1963720536801594
