Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
-2.003680013559284,-0.7645841009571407,-0.3890458744135232,-0.04769684031615815,3.4332350877498867,11.798962585482235,0.9278835871308168
-2.3308342075687607,-0.7188584179196374,-0.3125051007518257,-0.1651752321901922,2.1645009114985623,12.587239448930779,0.9381832704135228
-2.408239739497877,-0.7052177119917551,-0.2154465547699724,-0.27958808176171196,2.4779092832983336,12.998553121021702,0.9291578453502324
-1.761648175983936,-0.7569749414909546,-0.36101080126836216,-0.09137586934414836,2.091092628366072,11.727639767851052,0.9346384464675992
-2.5664087921427683,-0.7342399299563382,-0.2401148103790213,-0.2380858135438469,1.9038832710514024,13.148145870152426,0.9360342043945684
-2.8380358416929083,-0.7277804689811432,-0.3340363601415628,-0.18775069035626948,3.673769417067184,13.102982221796427,0.9460325964684536
-2.107323406991071,-0.7464102259040137,-0.3360752573212322,-0.1181970275808728,2.6743599661554383,12.14013088733317,0.9133709762595648
-1.9914017164980968,-0.7412550651530838,-0.39740589920622416,-0.07401338838216143,3.2518590225237283,11.801833259729214,0.9320007410417795
-2.2139573145402647,-0.7094454774419152,-0.2730798490547248,-0.20017631963117893,2.2322329247120978,12.49729982563782,0.9264509891679432
-2.4831134784088205,-0.7017179360505004,-0.29470369867137114,-0.18116679986172968,2.604384571576256,12.770787277448962,0.9436936085544612
-2.8524022147520007,-0.7482419656588529,-0.2620486079400852,-0.19885895780531504,2.6340371534415428,13.375511445185015,0.9362171441537808
-2.663952325463945,-0.6960122450310257,-0.28000875587275714,-0.20499310894772432,2.7959818562906738,13.04625003945219,0.9352381709428398
-2.3533266160937143,-0.7313182615007091,-0.3331688568260022,-0.12648014868210938,2.5018965638454524,12.488058602909884,0.9171863395264516
-2.588597387563864,-0.7256508434577764,-0.2924778020768823,-0.1720666212992782,2.48217772629944,12.948915576715601,0.9371727959259089
-3.0417529861381443,-0.7164208199061435,-0.20824634697182764,-0.2850699575332942,2.264069027309646,13.846599834560358,0.9416335441300098
-2.5436836473045865,-0.6963308041669861,-0.244555937991612,-0.2180725397867681,2.1884747239255296,12.992133492519276,0.9263658240572464
-2.473915411534162,-0.6810460403638261,-0.2651310682320037,-0.19420187139720912,2.599651667180757,12.787961943129492,0.9346772038228388
-1.8766046181319642,-0.7174746714331516,-0.3157307850099649,-0.1221834716683241,1.9236669378473348,11.931089021388178,0.9191185448948264
-3.0008859710976816,-0.734661761039753,-0.24289548325351226,-0.2506007084829034,2.4004810032527195,13.691801935802102,0.9416705542497592
-2.345806957856201,-0.7024525316426717,-0.29742975695411333,-0.17777364488386205,2.420342869061157,12.632062113250281,0.9370742379612714
