,y_predicted,y_actual,Relative Error
301,4.515984658623787,4.465908118654584,0.011213069915170938
75,5.419516996177213,5.4510384535657,0.0057826518115768515
30,4.326917135351721,4.290459441148391,0.008497386982306858
144,4.771147822795098,4.941642422609304,0.03450160599118801
226,4.544224199140317,4.430816798843313,0.025595145420277722
35,4.9984878877454255,5.241747015059643,0.04640802515179172
137,4.417329187841069,4.382026634673881,0.00805621601837103
25,4.427318799581776,4.605170185988092,0.03861993785755288
362,5.097435379586253,5.19295685089021,0.018394428077634126
10,4.738019890352787,4.820281565605037,0.01706574069017586
333,3.794912066354084,3.828641396489095,0.008809738662372809
132,7.278231640294661,7.3277805384216315,0.006761787947547254
311,4.881052082746319,4.969813299576001,0.017860070686610045
164,4.469655419999743,4.51085950651685,0.009134420271254112
306,4.4537561069689255,4.418840607796598,0.00790150681396437
237,4.621961439426405,4.736198448394496,0.024119979391238378
68,5.411794173400805,5.777652323222656,0.06332297780386047
158,6.889030845718829,6.78105762593618,0.015922769830132907
213,4.400126997547709,4.02535169073515,0.09310374238234916
118,4.719772071885054,4.948759890378168,0.04627175768586657
16,4.664187910979535,4.820281565605037,0.032382683978318554
300,5.059862036431016,4.875197323201151,0.03787840798792747
203,6.447159950261244,6.946975992135418,0.07194728216133317
223,7.9837695015846535,7.715569534520208,0.03476087745233748
232,4.728373656492141,4.6913478822291435,0.007892353155742608
79,5.450943547136378,5.497168225293202,0.008408816369151416
305,5.174826420062752,5.318119993844216,0.026944404027612754
199,5.862616805997119,5.560681631015528,0.05429823086750786
112,4.937877312658631,4.700480365792417,0.05050482682447997
187,4.766423192706024,4.867534450455582,0.02077258184379044
38,4.1703867251873,3.8918202981106265,0.07157741255728332
277,5.099123530714432,5.393627546352362,0.05460221587549163
5,4.785771550005508,4.77912349311153,0.0013910619601190293
74,4.523158423555092,4.74493212836325,0.04673906787464596
18,4.887415323674167,5.19295685089021,0.058837678800212866
303,4.393066681853008,4.248495242049359,0.03402885764652787
15,5.044415242884822,4.969813299576001,0.015011015265942947
175,6.296585711538,6.298949246855942,0.0003752269188581893
348,5.094408542965232,5.278114659230517,0.03480525303557284
367,5.134817468592449,5.442417710521793,0.05651904324334795
364,4.828812980622847,4.532599493153256,0.06535178939084244
47,4.677362587971043,4.8283137373023015,0.031263740830478566
114,4.858770295313831,4.454347296253507,0.09079287540073008
204,6.916602281181689,6.690842277418564,0.03374164184456415
113,4.965330771712119,4.795790545596741,0.03535188296975168
238,4.541842691721659,4.382026634673881,0.036470809141869134
109,5.630195702002583,5.537334267018537,0.016770061279693257
318,4.5361838681078215,4.605170185988092,0.014980188591112517
334,5.195857831710305,5.327876168789581,0.024778792317402664
34,5.234428432226145,5.655991810819852,0.07453394430084943
143,4.627935233145266,4.499809670330265,0.02847355159481597
361,5.1140175993783785,5.247024072160486,0.025348935120730564
326,5.085881798422494,5.003946305945459,0.01637417499458034
176,6.032411243681533,5.723585101952381,0.053956765947938565
129,4.759643172425134,4.7535901911063645,0.0012733494212636275
215,4.675735637328212,4.430816798843313,0.05527622774853518
353,4.806535891547967,4.356708826689592,0.10324928351940674
1,4.916824292227132,5.0369526024136295,0.023849402539331727
282,5.129516978656852,5.44673737166631,0.05824044218831338
86,5.065507279709346,5.081404364984463,0.003128482626705121
3,5.161487800980943,5.327876168789581,0.03122977384184199
105,4.690171807313799,4.919980925828125,0.046709351515553825
85,4.661966511407081,4.59511985013459,0.014547316164241729
322,4.944984177033809,4.564348191467836,0.08339328412269201
40,4.271653396920005,3.8501476017100584,0.10947782755724303
280,5.047864036522093,5.030437921392435,0.0034641348133034352
