,y_predicted,y_actual,Relative Error
349,4.707392289552182,4.532599493153256,0.038563477020848586
134,6.2372185115616166,6.774223886357614,0.07927186697762602
365,4.636027503860158,4.356708826689592,0.06411231236281738
215,4.138170448929793,3.7612001156935624,0.10022607722022712
193,4.407761832086891,4.499809670330265,0.02045594035905487
232,4.1669880207827585,3.6109179126442243,0.15399688433552117
143,4.33030215580322,4.430816798843313,0.022685352972917648
84,7.606905899215764,6.695798917058491,0.13607143724643517
48,4.009285939053349,3.6888794541139363,0.0868574018004538
291,4.874872440871699,4.795790545596741,0.016489855952438702
73,7.023042400910885,6.320768294250582,0.11110581403515402
46,4.755060516401562,4.564348191467836,0.04178303602915864
67,6.575282437287874,6.78105762593618,0.03034558913955505
318,4.855048421380497,4.700480365792417,0.03288345946787564
351,4.971392134856673,5.247024072160486,0.05253109829746221
357,4.9528083677146535,5.19295685089021,0.04624503728244711
125,3.8538442625896883,3.4011973816621555,0.1330845670316039
75,6.105873461096994,6.298949246855942,0.030652062461897098
128,5.707106792842412,5.560681631015528,0.026332232546847505
175,4.199266669596109,4.02535169073515,0.04320491530249304
242,3.857962512408136,3.8918202981106265,0.008699729974410039
229,4.6240075818369855,5.0369526024136295,0.08198310628906201
7,4.855527988562134,4.875197323201151,0.004034572004995697
338,4.818494692494816,5.030437921392435,0.04213216268832367
219,4.506925645540996,4.77912349311153,0.056955600323546976
233,4.291314029545161,4.465908118654584,0.039094868159092744
57,4.721287815526819,4.867534450455582,0.030045320976634347
227,4.627533221800576,4.820281565605037,0.03998694706546
83,4.263691813646254,4.51085950651685,0.05479392397690771
262,4.969506733132607,5.081404364984463,0.02202100518174334
23,4.876528357408547,5.003946305945459,0.025463492361123122
166,4.639380081347211,4.430816798843313,0.04707106882829006
45,4.195724869041399,4.248495242049359,0.012420956127164045
324,4.3374135680261015,4.59511985013459,0.05608260295995113
255,5.309942821859301,5.537334267018537,0.04106514690897825
173,7.586509934362784,7.715569534520208,0.016727164414758862
311,4.783998408195349,4.454347296253507,0.0740066029918922
76,6.944587683638467,7.3277805384216315,0.05229316745690945
167,4.590167633369846,4.736198448394496,0.030832917289213772
136,5.874279571687005,5.723585101952381,0.026328685089913414
385,4.775284705934742,4.6443908991413725,0.028183201981893523
159,4.524944017784992,4.7535901911063645,0.04809968132068973
72,4.68742748444443,4.6913478822291435,0.00083566554498421
323,6.772100173297632,7.227662498728654,0.06303038160832158
124,4.298248339604869,4.564348191467836,0.05829963900659232
226,4.693870284216783,4.418840607796598,0.062240234674887936
293,3.982291396298167,3.8501476017100584,0.03432174769856007
