,y_predicted,y_actual,Relative Error
96,6.15665495291759,6.680854678790215,0.07846297383728586
68,5.666463509371919,5.198497031265826,0.09001957205930036
158,6.160065285902475,6.529418838262226,0.05656759989041413
9,5.3926151947658845,5.176149732573829,0.04181978369555756
48,5.542233044017307,5.375278407684165,0.031059718896508378
149,7.185870985213759,7.652070746116482,0.060924653779413196
77,5.266661536833482,5.0238805208462765,0.0483253960717817
42,6.458909391185111,6.8501261661455,0.05711088605839841
250,6.482384227950291,6.709304340258298,0.03382170502333645
289,5.925278836167361,6.061456918928017,0.02246622958507138
194,5.8083115462913835,5.3706380281276624,0.08149376589364092
237,6.131259734550643,6.133398042996649,0.0003486335683767921
24,4.874239879932661,4.927253685157205,0.010759300943696487
254,5.67457319850599,5.680172609017068,0.000985781752862377
331,5.653188128530212,6.003887067106539,0.05841198121425345
343,5.9626031023387,6.5337888379333435,0.087420293150354
207,6.198565807552712,6.55250788703459,0.0540162767575177
32,4.9904238921720045,5.247024072160486,0.04890394563843221
357,6.66368141403556,7.234177179749849,0.07886118234859377
95,5.954557593516915,5.332718793265369,0.11660821137556691
283,6.561776813608713,6.675823221634848,0.017083497306599714
16,5.366470356433215,5.771441123130016,0.07016804954897879
159,6.199642382255602,6.267200548541362,0.010779640090101133
84,5.573204226274745,5.4680601411351315,0.019228772622421546
178,5.238040101074478,5.209486152841421,0.005481144856769179
132,5.031790620783385,5.241747015059643,0.04005465995841635
43,5.773785587687198,6.018593214496234,0.04067522394093671
109,4.331677646743145,4.653960350157523,0.06924912959421098
28,4.897583160955223,5.332718793265369,0.08159733321390833
214,6.423916733243357,6.230481447578482,0.031046603266920055
201,5.718663161132895,5.568344503761097,0.026995215053642364
240,6.028101005675163,6.184148890937483,0.025233526555448825
248,5.919874689262816,5.488937726156687,0.07851008421038654
388,5.42088459626963,5.652489180268651,0.040973910185886094
219,6.685633384768889,7.199678345691172,0.07139832312507771
258,7.767726449017147,7.603897968521881,0.021545328616121868
130,5.275766952560664,5.003946305945459,0.054321255664202484
233,5.414047659795358,5.198497031265826,0.04146402839765509
25,6.205569555975279,5.730099782973574,0.08297757299349591
372,6.924508764840224,7.237778191923443,0.04328254041175129
252,6.7529627782718435,7.090076835776092,0.04754730665303814
172,6.053497744386746,6.082218910376446,0.004722152624382039
111,5.908173168669885,6.163314804034641,0.0413968202951008
253,6.456523420894373,6.927557906278317,0.06799430502876828
57,5.219198533599381,4.875197323201151,0.07056149476476
215,5.642890307689965,5.62040086571715,0.004001394653181094
227,6.274274502095226,6.672032945461067,0.05961577927105912
332,5.963433605196151,6.212606095751519,0.04010756302830206
297,6.227907720618345,5.926926025970411,0.050782090636714926
118,5.809298802846612,6.028278520230698,0.03632541473476997
328,5.891338898425277,5.945420608606575,0.0090963640323462
162,6.491136253221081,6.345636360828596,0.022929125483875885
361,6.333180143713922,6.56244409369372,0.03493575666421481
144,5.61233240802339,5.497168225293202,0.020949728662168595
260,6.225185650339992,6.068425588244111,0.025832081124890226
125,5.384751452236211,5.19295685089021,0.03693360196380636
363,6.155922715627357,5.541263545158426,0.11092400956203895
205,6.132445586886266,5.877735781779639,0.04333468100015676
374,5.060907802070668,5.087596335232384,0.005245803991345291
209,6.9132519803056,7.259819610363186,0.04773777430542083
113,6.057049736268245,5.560681631015528,0.08926389572173136
204,7.594297121877105,6.985641817639208,0.08712947501845884
98,5.478137358761291,5.6937321388027,0.03786528322471186
4,6.310279412257189,5.777652323222656,0.092187459410407
176,5.550205991874279,5.627621113690637,0.013756278230605453
333,6.310334189693728,5.730099782973574,0.10126078579717994
243,7.147542594057976,7.039660349862076,0.015324921776661235
274,6.3872191654170996,6.405228458030842,0.0028116549989973165
142,5.266433806018862,5.225746673713202,0.007785898331108594
369,5.566270603388162,5.638354669333745,0.012784592345288075
272,8.312795674888603,8.735525185733225,0.048391997259079486
47,5.666626913341323,5.564520407322694,0.01834956088655214
273,5.663335831087901,5.583496308781699,0.014299198547087845
244,7.7647835764598465,7.621195162809845,0.018840668764223363
222,5.558804852832258,5.697093486505405,0.024273541236546084
235,9.19137667644258,8.585225601808064,0.07060397743151438
7,4.915961229381214,5.062595033026967,0.028964158240814202
80,5.756330824031587,5.472270673671475,0.051909009495235636
212,7.931182368302188,7.8628820346414905,0.00868642481977809
346,6.266985898364332,5.713732805509369,0.09682866029743264
