Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source
CCCCCCC,1426.0,±1,1.17,,0.8,8.8,90.4,1.0,Ar,208.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1335.0,±1,1.3,,1.2,13.2,85.6,1.0,Ar,466.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1455.0,±1,1.22,,1.2,13.2,85.6,1.0,Ar,115.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1421.0,±1,1.19,,1.2,13.2,85.6,1.0,Ar,163.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1349.0,±1,1.2,,1.2,13.2,85.6,1.0,Ar,411.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1409.0,±1,1.27,,1.2,13.2,85.6,1.0,Ar,179.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1465.0,±1,1.14,,1.2,8.8,90.0,1.5,Ar,189.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1461.0,±1,1.23,,1.2,8.8,90.0,1.5,Ar,189.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1409.0,±1,1.27,,1.2,8.8,90.0,1.5,Ar,321.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1411.0,±1,1.29,,1.2,8.8,90.0,1.5,Ar,311.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1386.0,±1,1.24,,1.75,19.7,78.55,1.0,Ar,177.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1329.0,±1,1.19,,1.75,19.7,78.55,1.0,Ar,382.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1330.0,±1,1.16,,1.75,19.7,78.55,1.0,Ar,382.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1501.0,±1,2.08,,0.2,2.2,97.6,1.0,Ar,150.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
CCCCCCC,1468.0,±1,2.13,,0.2,2.2,97.6,1.0,Ar,216.0,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane
