Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source
CCCCCCCCCCCC,1156.0,±1,5.34,±9.3,0.0558,21.0,78.9442,0.05,Ar,1526.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1134.0,±1,5.2,±9.3,0.0662,21.0,78.9338,0.06,Ar,2006.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1172.0,±1,6.19,±9.3,0.5336,21.0,78.4664,0.47,Ar,524.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1191.0,±1,6.4,±9.3,0.589,21.0,78.411,0.52,Ar,550.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1249.0,±1,6.23,±9.3,0.7572,21.0,78.2428,0.67,Ar,114.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1284.0,±1,6.42,±9.3,0.8276,21.0,78.1724,0.73,Ar,80.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1053.0,±1,6.56,±9.3,0.5649,21.0,78.4351,0.5,Ar,2105.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1045.0,±1,6.71,±9.3,0.6098,21.0,78.3902,0.54,Ar,2753.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1068.0,±1,6.4,±9.3,0.516,21.0,78.484,0.45,Ar,2126.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1078.0,±1,6.32,±9.3,0.5023,21.0,78.4977,0.44,Ar,1624.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1086.0,±1,6.32,±9.3,0.5655,21.0,78.4345,0.5,Ar,1422.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1107.0,±1,6.25,±9.3,0.5533,21.0,78.4467,0.49,Ar,1200.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1118.0,±1,6.18,±9.3,0.5678,21.0,78.4322,0.5,Ar,1081.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1140.0,±1,6.07,±9.3,0.5760000000000001,21.0,78.42399999999999,0.51,Ar,820.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1345.0,±1,5.92,±9.3,0.6297,21.0,78.3703,0.55,Ar,123.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1319.0,±1,5.78,±9.3,0.4595,21.0,78.5405,0.4,Ar,181.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1117.0,±1,8.09,±9.3,0.7901,21.0,78.2099,0.7,Ar,412.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1124.0,±1,8.24,±9.3,0.6972,21.0,78.3028,0.61,Ar,702.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,993.0,±1,4.23,±9.3,0.6795,21.0,78.3205,0.6,Ar,5732.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,921.0,±1,4.86,±9.3,1.2309999999999999,21.0,77.76899999999999,1.08,Ar,6085.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,943.0,±1,5.21,±9.3,1.28,21.0,77.72,1.13,Ar,3804.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,932.0,±1,4.98,±9.3,1.24,21.0,77.76,1.09,Ar,4627.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,954.0,±1,5.05,±9.3,1.158,21.0,77.842,1.02,Ar,4169.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1061.0,±1,4.1,±9.3,1.1159999999999999,21.0,77.884,0.98,Ar,959.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1019.0,±1,4.36,±9.3,0.9624,21.0,78.0376,0.85,Ar,1828.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,976.0,±1,4.49,±9.3,1.0,21.0,78.0,0.88,Ar,2555.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1192.0,±1,4.57,±9.3,0.875,21.0,78.125,0.77,Ar,246.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1118.0,±1,4.88,±9.3,0.8929,21.0,78.1071,0.79,Ar,587.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1146.0,±1,4.01,±9.3,0.5656,21.0,78.4344,0.5,Ar,1027.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1035.0,±1,4.43,±9.3,0.83,21.0,78.17,0.73,Ar,1803.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1003.0,±1,4.68,±9.3,0.742,21.0,78.258,0.65,Ar,4081.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1147.0,±1,4.97,±9.3,1.276,21.0,77.72399999999999,1.12,Ar,357.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1220.0,±1,8.63,±9.3,0.4879,21.0,78.5121,0.43,Ar,292.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1172.0,±1,5.33,±9.3,0.7078,21.0,78.2922,0.62,Ar,663.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1011.0,±1,6.57,±9.3,1.179,21.0,77.821,1.04,Ar,1100.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,940.0,±1,7.0,±9.3,1.166,21.0,77.834,1.03,Ar,2599.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,958.0,±1,6.57,±9.3,1.169,21.0,77.831,1.03,Ar,2041.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,921.0,±1,6.25,±9.3,0.9985,21.0,78.0015,0.88,Ar,5556.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
CCCCCCCCCCCC,1037.0,±1,5.69,±9.3,0.5463,21.0,78.4537,0.48,Ar,2607.0,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube 
