Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
-3.4018915339545868,-0.6134010839093765,0.6854896375110388,-1.1134575334877796,-0.8367121065445163,17.388889277192742,0.8875361290454624
-3.4018915339545868,-0.6134010839093765,0.6854896375110388,-1.1134575334877796,-0.8367121065445163,17.388889277192742,0.8875361290454624
-2.0976077709666505,-0.3715475417408909,-0.2165300568450026,-0.12589541992907818,3.2669800102302604,10.65743030575977,0.7132325162479858
-2.0976077709666505,-0.3715475417408909,-0.2165300568450026,-0.12589541992907818,3.2669800102302604,10.65743030575977,0.7132325162479858
-2.0976077709666505,-0.3715475417408909,-0.2165300568450026,-0.12589541992907818,3.2669800102302604,10.65743030575977,0.7132325162479858
-2.0976077709666505,-0.3715475417408909,-0.2165300568450026,-0.12589541992907818,3.2669800102302604,10.65743030575977,0.7132325162479858
-2.0976077709666505,-0.3715475417408909,-0.2165300568450026,-0.12589541992907818,3.2669800102302604,10.65743030575977,0.7132325162479858
-3.4018915339545868,-0.6134010839093765,0.6854896375110388,-1.1134575334877796,-0.8367121065445163,17.388889277192742,0.8875361290454624
-3.4018915339545868,-0.6134010839093765,0.6854896375110388,-1.1134575334877796,-0.8367121065445163,17.388889277192742,0.8875361290454624
-3.4018915339545868,-0.6134010839093765,0.6854896375110388,-1.1134575334877796,-0.8367121065445163,17.388889277192742,0.8875361290454624
-3.4018915339545868,-0.6134010839093765,0.6854896375110388,-1.1134575334877796,-0.8367121065445163,17.388889277192742,0.8875361290454624
-2.0976077709666505,-0.3715475417408909,-0.2165300568450026,-0.12589541992907818,3.2669800102302604,10.65743030575977,0.7132325162479858
-3.4018915339545868,-0.6134010839093765,0.6854896375110388,-1.1134575334877796,-0.8367121065445163,17.388889277192742,0.8875361290454624
-3.4018915339545868,-0.6134010839093765,0.6854896375110388,-1.1134575334877796,-0.8367121065445163,17.388889277192742,0.8875361290454624
-3.4018915339545868,-0.6134010839093765,0.6854896375110388,-1.1134575334877796,-0.8367121065445163,17.388889277192742,0.8875361290454624
-3.4018915339545868,-0.6134010839093765,0.6854896375110388,-1.1134575334877796,-0.8367121065445163,17.388889277192742,0.8875361290454624
-2.0976077709666505,-0.3715475417408909,-0.2165300568450026,-0.12589541992907818,3.2669800102302604,10.65743030575977,0.7132325162479858
