,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,log_T0/T
0,1.0,0.6678293725756554,-1.1394342831883648,1.3862943611198906,0.06289308176100629,-0.28141245943818544
1,1.0,0.7178397931503168,-1.1394342831883648,1.3862943611198906,0.06587615283267458,-0.23507212217948356
2,1.0,0.6981347220709843,-1.1394342831883648,1.3862943611198906,0.06464959917248513,-0.25386672395705034
5,1.0,1.2149127443642704,-1.1394342831883648,1.3862943611198906,0.06500260010400416,-0.2484213584984783
8,1.0,1.3217558399823195,-1.1394342831883648,1.3862943611198906,0.06317917614354308,-0.2768738737351775
9,1.0,1.3376291891386096,-1.1394342831883648,1.3862943611198906,0.06546216286986122,-0.24137631957526948
16,1.0,1.534714366238164,-1.6820086052689356,3.044522437723423,0.0413564929693962,-0.1897935716326556
18,1.0,1.6213664832993742,-1.067986095126349,3.044522437723423,0.04194630872483222,-0.17563256864315802
23,1.0,1.506297153514587,-1.5779392453747294,3.044522437723423,0.037009622501850484,-0.3008450589780618
27,1.0,1.7316555451583497,-1.6581030844153815,3.044522437723423,0.044964028776978415,-0.10616019582839067
32,1.0,1.6752256529721035,-2.885981409594872,3.044522437723423,0.04325259515570934,-0.14496577025018567
33,1.0,1.6486586255873816,-2.7150748160391744,3.044522437723423,0.04409171075837742,-0.1257512053055604
39,1.0,1.9035989509835904,-0.49462424442798264,3.044522437723423,0.04784688995215311,-0.04401688541677433
40,1.0,1.8562979903656263,-0.6616485135005743,3.044522437723423,0.04681647940074907,-0.06578774053800314
50,1.0,1.4422019930581866,-0.38639804539093864,3.044522437723423,0.050352467270896276,0.0070246149369644385
71,1.0,1.7509374747078,-0.5561717255328675,3.044522437723423,0.047664442326024785,-0.04783732941416011
75,1.0,0.6678293725756554,-0.6931471805599453,1.3862943611198906,0.1278118609406953,-0.2654364635044612
76,1.0,0.6931471805599453,-0.6931471805599453,1.3862943611198906,0.13154433043935806,-0.23665190133900207
77,1.0,1.2837077723447896,-0.6931471805599453,1.3862943611198906,0.12790995139421846,-0.264669298142708
78,1.0,1.3217558399823195,-0.6931471805599453,1.3862943611198906,0.13217023526301877,-0.23190505698278255
79,1.0,1.244154593958768,-0.6931471805599453,1.3862943611198906,0.11947431302270012,-0.33289441527332897
81,1.0,1.2837077723447896,-0.6931471805599453,1.3862943611198906,0.13144058885383805,-0.2374408560150342
87,1.0,1.8779371654691073,-3.001750345879554,0.0,0.02818807080843387,-0.23665190133900207
88,1.0,1.4906543764441336,-3.4673371841667002,0.0,0.030472940029254023,-0.15871169115482084
89,1.0,1.5260563034950492,-3.423442990609475,0.0,0.030525030525030524,-0.1570037488096648
90,1.0,1.9125010869241836,-3.009831197933493,0.0,0.026792412388811488,-0.28743204119657156
91,1.0,1.8656293177945105,-1.6971768267421072,1.3862943611198906,0.02691355366562601,-0.28292075535007044
93,1.0,0.7178397931503168,-2.114447150878651,1.3862943611198906,0.03018959062915107,-0.16805358499624973
94,1.0,0.7227059828014898,-2.385966701933097,1.3862943611198906,0.030814741772463947,-0.1475575643576146
97,1.0,0.6471032420585384,-2.397995277798704,1.3862943611198906,0.029467232437529467,-0.19227188764712272
98,1.0,0.6043159668533296,-1.9071703207393829,1.3862943611198906,0.028640164967350213,-0.2207406666978994
99,1.0,0.636576829071551,-1.8438952236485835,1.3862943611198906,0.027793218454697052,-0.2507587183471831
100,1.0,0.5364933705145685,-1.854699269001929,1.3862943611198906,0.026396367859782496,-0.3023243491886509
101,1.0,0.7323678937132266,-2.047942874620465,1.3862943611198906,0.030656039239730228,-0.15272108701766385
102,1.0,0.7080357930536959,-1.8508727337205617,1.3862943611198906,0.030343488287413522,-0.16296882827813972
103,1.0,0.6729444732424258,-2.1498640059763816,1.3862943611198906,0.029322073657049027,-0.1972101692877053
104,1.0,0.62057648772511,-2.076246650783317,1.3862943611198906,0.029012417314610652,-0.2078268472023165
105,1.0,0.6151856390902335,-1.2517634681622845,1.3862943611198906,0.05465078150617554,-0.26773443464208496
106,1.0,0.5187937934151675,-1.2517634681622845,1.3862943611198906,0.05545696539485359,-0.25309062768216184
109,1.0,0.6471032420585384,-1.2517634681622845,1.3862943611198906,0.05370569280343716,-0.28517894223366247
110,1.0,1.2892326482767593,-1.2517634681622845,1.3862943611198906,0.052988554472233995,-0.29862201249011533
111,1.0,1.2412685890696329,-1.2517634681622845,1.3862943611198906,0.05655468838366701,-0.23348984336835404
123,1.0,0.6523251860396901,-0.8675005677047231,1.3862943611198906,0.09735202492211838,-0.24998020526776946
124,1.0,0.6418538861723947,-0.8675005677047231,1.3862943611198906,0.09238728750923873,-0.3023243491886509
125,1.0,0.5653138090500605,-0.8675005677047231,1.3862943611198906,0.09204712812960236,-0.3060130291365043
128,1.0,0.6575200029167941,-0.8675005677047231,1.3862943611198906,0.10105092966855295,-0.2126890934103509
129,1.0,1.199964782928397,-0.8675005677047231,1.3862943611198906,0.09819324430479183,-0.24137631957526948
130,1.0,1.2809338454620642,-0.8675005677047231,1.3862943611198906,0.08954154727793696,-0.3336110043401807
131,1.0,1.1314021114911006,-0.8675005677047231,1.3862943611198906,0.1,-0.2231435513142097
133,1.0,1.2325602611778486,-0.8675005677047231,1.3862943611198906,0.08884150675195451,-0.341459778132252
174,1.0,0.02955880224154443,0.0,1.1786549963416462,0.15006002400960383,-0.510425543744651
175,1.0,0.058268908123975824,0.0,1.1786549963416462,0.15365703749231716,-0.4867378282369007
176,1.0,0.06765864847381486,0.0,1.1786549963416462,0.16223231667748214,-0.4324315563379788
177,1.0,0.0769610411361284,0.0,1.1786549963416462,0.14417531718569782,-0.55043087835835
