Constant,P_H,P_S,S_H,S_S,Temp(K),Testing_R2,Training_R2,log_Fuel(%),log_Oxidizer(%),log_P(atm)
102.5002,-19.4055,-6.4685,-1.3197,2.5744,-42.7302,0.8928568382688759,0.9096985036624112,-0.1312,-0.3503,-1.0499
101.5249,-19.1672,-6.3891,-1.305,2.542,-42.3239,0.8951724160661,0.9090059313448708,-0.1348,-0.3492,-1.0477
103.5014,-19.6177,-6.5392,-1.3427,2.5983,-43.1519,0.9056293968541796,0.9065975743242176,-0.1401,-0.3529,-1.0538
102.7128,-19.4389,-6.4796,-1.3259,2.5769,-42.8535,0.8975339294173281,0.9092219857665264,-0.1494,-0.3388,-1.0497
104.038,-19.7616,-6.5872,-1.347,2.6201,-43.3972,0.9117701537213568,0.9056549884658373,-0.1452,-0.35,-1.0467
101.6537,-19.224,-6.4079999999999995,-1.3135,2.5472,-42.3954,0.9120001259026542,0.904834502549944,-0.162,-0.3204,-1.044
102.0723,-19.3593,-6.4531,-1.3278,2.5626,-42.5315,0.9026314123877316,0.9051118691099976,-0.1665,-0.3097,-1.044
100.9661,-19.0633,-6.3544,-1.2938,2.5303,-42.0999,0.9042064615528468,0.9058604249065058,-0.14400000000000002,-0.3413,-1.0346
102.3326,-19.3539,-6.4513,-1.3211,2.5651,-42.6736,0.9019276800374691,0.9073492490291524,-0.14400000000000002,-0.3424,-1.0494
102.0953,-19.3268,-6.4423,-1.3139,2.5642,-42.5633,0.9014683369048334,0.9076053908187636,-0.1364,-0.344,-1.0425
100.4512,-18.9407,-6.3136,-1.2875,2.513,-41.8671,0.8951698286202354,0.9079079986535008,-0.1368,-0.3393,-1.0395
102.0339,-19.3189,-6.4396,-1.3213,2.5592,-42.5359,0.8918848220375564,0.9087484409778992,-0.1591,-0.3238,-1.0458
102.5772,-19.4326,-6.4775,-1.3225,2.5775,-42.7609,0.8930917127939574,0.9093013351480342,-0.1369,-0.3481,-1.0461
102.0067,-19.3007,-6.4336,-1.3126,2.5605,-42.50899999999999,0.8885979232233632,0.9099889183425188,-0.1286,-0.3502,-1.0463
102.4538,-19.4099,-6.47,-1.3162,2.5769,-42.7264,0.884781357902682,0.9111234689477052,-0.1343,-0.3458,-1.0421
102.366,-19.3636,-6.4545,-1.3164,2.5691,-42.6965,0.9177751582073952,0.9036900580186648,-0.1349,-0.3524,-1.0426
102.3696,-19.3732,-6.4577,-1.3239,2.5669,-42.6693,0.89009499935674,0.909242493324385,-0.1404,-0.3429,-1.0495
102.4467,-19.3813,-6.4604,-1.3176,2.5714,-42.7232,0.910103612090188,0.9062013442261782,-0.134,-0.3551,-1.0464
103.3708,-19.6531,-6.551,-1.3409,2.605,-43.0958,0.9069029133133608,0.9056295426606048,-0.1578,-0.3292,-1.0406
