Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
-1.9550344176195669,-0.6521986673204685,-0.5067801890592617,0.14520880293659244,2.779293779597108,10.00358720453303,0.9292452096275456
-1.403649491548027,-0.6300813415654548,-0.4774695040288087,0.1396111504118091,2.060616470313594,9.379387610854911,0.9176637577151509
-1.9298192616540115,-0.6347528341302267,-0.4802920545094425,0.10496831675889212,2.390457742851896,10.097100775203288,0.9307188025868224
-2.370116642698441,-0.6830979210258561,-0.5309997658109578,0.16840616548573756,3.3918945200538584,10.466707440260027,0.9400183725308492
-1.9593274152241864,-0.6646857629631114,-0.4866490058967223,0.1337997645047499,2.6988888270737768,10.121649660605367,0.9294256945427348
-1.2738511762351492,-0.6258568357220458,-0.5109605329002839,0.20274202190982427,2.4190475847001345,9.010670995711935,0.9187494418242286
-2.026585902226003,-0.6747324724997077,-0.522082387474518,0.1561074536561029,2.673562127725201,10.112874925144787,0.9299630209534441
-1.7032504551600105,-0.6310207372940343,-0.5549474194698488,0.19446750272347368,3.5986983225614577,9.438749200471632,0.9237923695177964
-1.311161819250731,-0.6390312684273245,-0.4235234694861537,0.11742637605573752,1.2354665472410111,9.455225051662236,0.9228089693340694
-2.024909488245809,-0.6557667729205359,-0.5034002834215728,0.13664479305672173,2.9744169065093082,10.115394916061176,0.9281115628600124
-1.5144841725309397,-0.6258488885091108,-0.4897171798731046,0.1244398085498128,2.0012649590016918,9.55116334252966,0.927845788902222
-1.5109130378375681,-0.5963808690632553,-0.5117004906445136,0.15288812019993786,3.35402938126494,9.258033864449756,0.9109031275217117
-1.6291887739153297,-0.6098104517036064,-0.5132067530121095,0.15606521730487768,3.015673489711044,9.469873003494891,0.9072947149716992
-1.6299903959985649,-0.6178857476844918,-0.5404581492451923,0.2054524309457435,2.9712460019505027,9.316911545982279,0.9147511105165422
-1.8343250210770532,-0.6494923830218906,-0.4909308943081601,0.15956469314887298,3.436537431266858,9.786208281567811,0.9334728561654112
-1.8492585749792405,-0.6344083347400787,-0.5110365051421792,0.156044690859112,3.01344922900729,9.796461796112295,0.9247515999083189
