features,VIF Factor
CRIM,2.3917103773145176
ZN,2.5786445536114777
INDUS,3.314826660336743
CHAS,1.0481844915986556
NOX,5.118565739152031
RM,2.6856502055448948
AGE,3.7223596121741047
DIS,4.127456534471221
RAD,7.160289652358331
TAX,7.006403870502285
PTRATIO,1.7160408325475702
B,1.5544612274020075
LSTAT,4.092362877449674
