Constant,log_P(atm),log_Fuel(%),T0/S_H__T,log_T0/T,Training_R2,Testing_R2
7.6953,-0.5467,-0.4934,4.8288,9.6245,0.895588428330953,0.5726791036684687
7.6953,-0.5467,-0.4934,4.8288,9.6245,0.895588428330953,0.5726791036684687
