Data_Source,Diluant Type,Diluant(%),Equv(phi),Fuel,Fuel(%),Measured_wavelength(nm),Mode_of_measurement,Oxidizer(%),P(atm),P_Error(%),Research_group,Shocktube_dia(cm),Species_measurement_Error,Species_name,T(K),T_Error(%),Time(μs)
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,85,1,CCCC,2,431,Speceis,13,1.19,±1,Stanford,15.3,±5,CH,1490,±1,100
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,85,1,CCCC,2,431,Speceis,13,1.16,±1,Stanford,15.3,±5,CH,1517,±1,83
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,86,0.5,CCCC,1,431,Speceis,13,1.12,±1,Stanford,15.3,±5,CH,1389,±1,204
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,86,0.5,CCCC,1,431,Speceis,13,1.08,±1,Stanford,15.3,±5,CH,1422,±1,131
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,86,0.5,CCCC,1,431,Speceis,13,1.11,±1,Stanford,15.3,±5,CH,1385,±1,206
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,92.5,1,CCCC,1,431,Speceis,6.5,1.13,±1,Stanford,15.3,±5,CH,1557,±1,87
Autoignition_ n_Alkane / Horning_2001_thesis,Ar,86,0.5,CCCC,1,431,Speceis,13,1.07,±1,Stanford,15.3,±5,CH,1453,±1,96
n_Alkane_Oxidation,Ar,99.625,1,CCCC,0.05,306.7,Speceis,0.325,2.06,,Stanford,8.9,±5,OH,1598,,144
C1_C4_Alkanes,Ar,92.86,1,CCCC,0.95,430,Speceis,6.19,1.24,,Xi’an_Jiaotong,11.5,±2.36,CH,1585,±3,70
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.75,0.5,CCCCC,0.25,306,Species,4,1.62,±1,Stanford,14.13,±3,OH,1428,±0.7,153
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.75,0.5,CCCCC,0.25,306,Species,4,1.75,±1,Stanford,14.13,±3,OH,1397,±0.7,232
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.79,0.5,CCCCCC,0.21,306,Species,4,1.69,±1,Stanford,14.13,±3,OH,1403,±0.7,196
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,94.8,0.9,CCCCCCC,0.4,431,Species,4.8,1.23,,Stanford,15.3,±5,CH,1491,±1,137
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.24,0.9,CCCCCCC,0.36,431,Species,4.4,1.22,,Stanford,15.3,±5,CH,1492,±1,141
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.24,0.9,CCCCCCC,0.36,431,Species,4.4,1.25,,Stanford,15.3,±5,CH,1501,±1,125
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.24,0.9,CCCCCCC,0.36,431,Species,4.4,1.25,,Stanford,15.3,±5,CH,1476,±1,163
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431,Species,8.8,1.2,,Stanford,15.3,±5,CH,1455,±1,86
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431,Species,8.8,1.32,,Stanford,15.3,±5,CH,1413,±1,121
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431,Species,8.8,1.3,,Stanford,15.3,±5,CH,1347,±1,286
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431,Species,8.8,1.23,,Stanford,15.3,±5,CH,1396,±1,161
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,90.8,0.5,CCCCCCC,0.4,431,Species,8.8,1.21,,Stanford,15.3,±5,CH,1432,±1,110
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,95.2,1,CCCCCCC,0.4,431,Species,4.4,2.06,,Stanford,15.3,±5,CH,1503,±1,100
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,85.6,1,CCCCCCC,1.2,431,Species,13.2,1.22,,Stanford,15.3,±5,CH,1455,±1,115
Horning_2001_thesis / Autoignition_ n_Alkane,Ar,97.6,1,CCCCCCC,0.2,431,Species,2.2,2.07,,Stanford,15.3,±5,CH,1547,±1,100
n_Alkane_Oxidation,Ar,99.64,1,CCCCCCC,0.03,306.7,Species,0.33,2.14,,Stanford,8.9,±5,OH,1551,,207
n_Alkane_Oxidation,Ar,99.64,1,CCCCCCC,0.03,306.7,Species,0.33,2.04,,Stanford,8.9,±5,OH,1640,,99
n_Alkane_Oxidation,Ar,99.64,1,CCCCCCC,0.03,306.7,Species,0.33,3.8,,Stanford,8.9,±5,OH,1649,,73
n_Alkane_Oxidation,Ar,99.64,1,CCCCCCC,0.03,306.7,Species,0.33,3.75,,Stanford,8.9,±5,OH,1710,,49
blend_surrogate_fuels,N2,77.526,1,CCCCCCC,1.874,306.7,Species,20.6,20,,Stanford,5,,OH,806,±1.8,1377
blend_surrogate_fuels,N2,77.526,1,CCCCCCC,1.874,306.7,Species,20.6,19.92,,Stanford,5,,OH,850,±1.8,1653
blend_surrogate_fuels,N2,77.526,1,CCCCCCC,1.874,306.7,Species,20.6,53.9,,Stanford,5,,OH,909,±1.8,254
blend_surrogate_fuels,N2,77.526,1,CCCCCCC,1.874,306.7,Species,20.6,60,,Stanford,5,,OH,923,±1.8,244
blend_surrogate_fuels,N2,77.526,1,CCCCCCC,1.874,306.7,Species,20.6,60.6,,Stanford,5,,OH,926,±1.8,233
blend_surrogate_fuels,N2,77.526,1,CCCCCCC,1.874,306.7,Species,20.6,55.4,,Stanford,5,,OH,932,±1.8,323
iso_octane_heptane,Ar,99.4,1,CCCCCCC,0.05,216,Species,0.55,1.61,,Stanford,15.3,,CH3,1546,±1,162
n_heptane_oxidation,Ar,99.64,1,CCCCCCC,0.03,306.7,Species,0.33,2.36,±1,Stanford,15.3,,OH,1506,±1,189
Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,Ar,95.84,0.5,CCCCCCCC,0.16,306,Species,4,1.91,±1,Stanford,14.13,±3,OH,1434,±0.7,104
