,Fuel,Ea/R,intercept
0,C10_10_export.csv,11.804733715517452,-19.451963455783158
1,C11_10_export.csv,11.778057643443518,-19.49908387941216
2,C12_10_export.csv,11.718027162708657,-19.54398818304645
3,C13_10_export.csv,11.707986400255512,-19.598801956321537
4,C14_10_export.csv,11.659115094984838,-19.634953300956226
5,C15_10_export.csv,11.667238708354082,-19.695103909632884
6,C16_10_export.csv,11.65358957439203,-19.748537375986647
7,C3_10_export.csv,18.872721058841364,-22.235365447108308
8,C4_10_export.csv,14.864900903773622,-20.213591801476
9,C5_10_export.csv,12.940579765206037,-19.221030049133624
10,C6_10_export.csv,12.229083242640463,-18.923367465673593
11,C7_10_export.csv,11.955849701055737,-18.914311613676414
12,C8_10_export.csv,11.99429931203421,-19.41315381000074
13,C9_10_export.csv,11.926191878700052,-19.440136467128326
