,Fuel,Ea/R,intercept
0,C10_10_export.csv,20.268867850681108,-24.766958592842933
1,C11_10_export.csv,20.475119539440943,-24.953838027428915
2,C12_10_export.csv,20.17171618188404,-24.842198590431416
3,C13_10_export.csv,20.276425990456985,-24.95427914306333
4,C14_10_export.csv,20.113800011910833,-24.912840376758425
5,C15_10_export.csv,20.18040320837868,-25.00493449902498
6,C16_10_export.csv,20.10829144377906,-25.017936048278237
7,C3_10_export.csv,23.817275144380318,-25.33044505823682
8,C4_10_export.csv,22.901033539226546,-25.18456997753095
9,C5_10_export.csv,21.16648624120149,-24.4091380698476
10,C6_10_export.csv,19.84848353628042,-23.715485368103487
11,C7_10_export.csv,21.198937401267553,-24.71907919060005
12,C8_10_export.csv,20.62647457307954,-24.869789624794965
13,C9_10_export.csv,20.715024552741394,-24.976523700722268
