,Unnamed: 0,Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source,Primary_C,Secondary_C,Tertiary_C,Quaternary_C,Other_Atom,P_P,P_S,P_T,P_Q,S_S,S_T,S_Q,T_T,T_Q,Q_Q,P_H,S_H,T_H,label
10,10,CCCCCCCC,1434,±0.7,1.91,±1,0.16,4.0,95.84,0.5,Ar,104,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,1
11,11,CCCCCCCC,1307,±0.7,1.98,±1,0.16,4.0,95.84,0.5,Ar,663,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,1
12,12,CCCCCCCC,1273,±0.7,2.07,±1,0.16,4.0,95.84,0.5,Ar,988,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,1
13,13,CCCCCCCC,1252,±0.7,2.19,±1,0.16,4.0,95.84,0.5,Ar,1269,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,1
14,14,CCCCCCCC,1380,±0.7,2.01,±1,0.16,4.0,95.84,0.5,Ar,220,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,1
15,149,CCC,1376,±1,1.19,±1,4.0,20.0,76.0,1.0,Ar,357,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
16,150,CCC,1461,±1,1.15,±1,4.0,20.0,76.0,1.0,Ar,140,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
17,151,CCC,1413,±1,1.16,±1,4.0,20.0,76.0,1.0,Ar,246,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
18,152,CCC,1477,±1,1.12,±1,4.0,20.0,76.0,1.0,Ar,115,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
19,153,CCC,1444,±1,1.26,±1,4.0,20.0,76.0,1.0,Ar,152,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,1
