,Fuel,Ea/R,intercept
0,C10_10_export.csv,20.02147219392254,-15.404160153972015
1,C11_10_export.csv,20.178044552681786,-15.560418395257532
2,C12_10_export.csv,19.90724499488107,-15.468884542292006
3,C13_10_export.csv,19.9863540673048,-15.565180082620408
4,C14_10_export.csv,19.851235613056826,-15.540713526662158
5,C15_10_export.csv,19.90257469180767,-15.62339073805112
6,C16_10_export.csv,19.847605160051117,-15.64696887745566
7,C3_10_export.csv,23.782549535883803,-16.099551180003225
8,C4_10_export.csv,23.280451826364395,-16.208740656774268
9,C5_10_export.csv,20.965513779846226,-15.075303725198971
10,C6_10_export.csv,19.61966126851948,-14.364165438928609
11,C7_10_export.csv,21.3419070275873,-15.59778934622279
12,C8_10_export.csv,20.40088386824127,-15.520455746089233
13,C9_10_export.csv,20.372796589097096,-15.555226883162089
