Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,Training_R2,Testing_R2
0.01,-0.0142,-0.0589,0.0665,0.0054,-4.4484,-0.0033,-0.0001,4.6099,0.0676,0.0178,-0.0451,0.8601042975510309,-0.15016584542613853
159.869,0.011,-1.5552,0.2827,0.0774,0.5069,0.0026,0.0009,-158.7167,0.2371,0.5121,0.1543,0.8865197063954244,0.7601214639484217
