Constant,Testing_R2,Training_R2,dia,female,hei,infant,len,male,s_wei,sh_wei,v_wei,w_wei
2.5158,0.0663647403829124,0.5615825763436766,10.9032,1.0846,19.0176,0.3091,-1.6961,1.1221,-20.5878,7.1301,-12.5964,10.0528
2.6914,0.0474025867199388,0.5533409183226448,13.1236,,20.6099,,-2.7794,,-21.0281,6.7410000000000005,-11.9659,10.3588
2.6914,0.0474025867199388,0.5533409183226448,13.1236,,20.6099,,-2.7794,,-21.0281,6.7410000000000005,-11.9659,10.3588
2.6914,0.0474025867199388,0.5533409183226448,13.1236,,20.6099,,-2.7794,,-21.0281,6.7410000000000005,-11.9659,10.3588
2.6914,0.0474025867199388,0.5533409183226448,13.1236,,20.6099,,-2.7794,,-21.0281,6.741,-11.9659,10.3588
