,y_predicted,y_actual,Relative Error
8,6.436564496398647,6.419994928147142,0.002580931673148084
32,7.534167654849942,7.330405211844402,0.027796886681830703
125,6.73896796506402,6.5337888379333435,0.0314027790337307
97,8.04468958065489,7.727535110475448,0.04104212606546515
243,5.55676286774432,5.241747015059643,0.0600974926450343
99,7.24552379520399,7.234177179749849,0.0015684735350280517
244,5.9452909254697595,5.771441123130016,0.03012242499416853
110,6.20099804349465,6.003887067106539,0.03283056029951361
260,5.9581340563452105,6.186208623900494,0.03686823083756247
216,4.7147393560026565,4.990432586778736,0.055244355270218405
174,4.988820598350947,5.176149732573829,0.03619082598094255
104,7.8010261093064805,7.667158255319148,0.017459904899505756
19,8.166569926534867,8.63141433550626,0.0538549524912974
225,6.280329586924276,5.998936561946683,0.04690715130454396
9,6.827512138945648,6.96979066990159,0.020413601741349065
123,7.319160188835037,7.183111701743281,0.01894004892875857
98,7.62178772996962,7.630461261783627,0.001136698230478866
217,5.731329149126318,6.091309882077698,0.05909742566382014
106,7.280006649840674,7.208600337960199,0.00990571103026091
133,5.843064882653299,5.572154032177765,0.04861869376027535
50,8.720643655808313,8.653819788948063,0.007721892585005343
103,7.901628963175677,7.884952945759814,0.0021149165417443014
175,5.246791132081227,5.393627546352362,0.027224055240973887
280,6.87268249237433,7.1929342212158,0.04452309989112323
17,7.104319089892637,7.495541943884256,0.05219407174564945
128,7.744785721537449,7.903226808730733,0.020047645224891407
131,7.276849806185998,7.498315870766981,0.029535440810701617
75,7.2413975090290315,7.112327444710911,0.018147373742487524
242,5.581416255796261,5.241747015059643,0.06480076962141484
87,7.2179579308640935,7.550661243105336,0.04406280477024981
109,6.8235648162673606,6.659293919683638,0.024667915031977888
33,7.7220768597826,7.603897968521881,0.015541882827721799
262,5.697536719115496,5.8888779583328805,0.03249196885573633
5,6.837562353931617,6.927557906278317,0.012990949128716584
71,7.923452616919664,7.855932199718614,0.008594831967041186
102,8.175225036143512,8.471777327885755,0.035004731624155135
18,6.723874579954126,7.01211529430638,0.04110610026425213
237,6.424353496899171,6.144185634125646,0.045598860362785036
16,6.7990840142474624,6.8308742346461795,0.004653902166354799
100,6.746697589457375,6.56244409369372,0.0280769623532056
257,5.671145982745623,5.631211781821365,0.007091582144570134
177,4.483783372124271,4.653960350157523,0.036566056697817005
111,6.971732693014978,7.1204443723924875,0.020885168340630107
278,7.774331871147805,7.415175109613295,0.04843537154893162
40,7.673467534464273,7.661997558901893,0.0014969954602836006
89,8.482560569516554,8.52158353971753,0.0045793097044812955
105,7.043926399632465,6.90975328164481,0.019417931801425484
88,8.501638384282383,8.428799040653642,0.008641722655555562
124,6.725193939239627,6.434546518787453,0.045169837470837776
81,7.116454792091261,7.16703787691222,0.007057739290580043
108,6.5333724591192786,6.212606095751519,0.051631530862244
277,7.666890219222641,7.501082124259871,0.022104556678098027
176,5.881235349763612,6.089044875446846,0.0341284273533924
27,7.587677765989244,7.732369222284388,0.018712434977645485
95,8.067974292574746,8.619027497297505,0.06393449897863092
261,5.232859295878347,5.3230099791384085,0.0169360349902356
178,5.265301840632054,5.384495062789089,0.022136378762931723
218,5.106537996346359,5.3471075307174685,0.0449905922013187
245,5.91769983664693,5.739792912179234,0.030995355963138776
101,8.326648350840689,8.422442854870427,0.011373719677343215
91,5.944726544296217,5.886104031450156,0.009959476171816582
1,7.353514618772579,7.358193752733032,0.0006359079575358779
130,5.89758661425636,5.707110264748875,0.03337527061357136
77,6.798747540936182,6.723832440821209,0.011141726206642853
2,7.154719992963878,7.088408778675395,0.00935488010905533
79,6.033740671492078,5.755742213586912,0.048299323977527495
76,7.558697820435827,7.520234556474628,0.00511463620879808
179,5.56823117062028,5.717027701406222,0.026026903936348364
255,5.433373054959794,5.247024072160486,0.03551517588570494
39,7.837418011041388,7.920446505142607,0.010482804731691605
129,7.016621041778055,6.952728644624869,0.009189542756365295
