Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,Training_R2,Testing_R2
1.3085,2.9198,8.1428,2.7241,2.9907,-9.502,-0.0907,5.6547,0.9580878764016912,
1.3085,2.9198,8.1428,2.7241,2.9907,-9.502,-0.0907,5.6547,0.9580878764016912,
