Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
-1.9943088165953853,-0.7363720907655465,0.5644349143847379,-2.7646990667778586,7.743122273658519,15.486244547317026,0.9666625332139048
-1.9943088165953853,-0.7363720907655465,0.5644349143847379,-2.7646990667778586,7.743122273658519,15.486244547317026,0.9666625332139048
-2.7004312590319905,-0.4851890340836714,-0.211193429489907,-0.2662651830417835,3.4890071757364853,12.558483338106994,0.9123870367470184
-2.712839395019551,-0.4968653782581647,-0.1882360687072987,-0.29391159123448185,2.8508832061427967,12.738813948183749,0.9079605707172708
-2.712839395019551,-0.4968653782581647,-0.1882360687072987,-0.29391159123448185,2.8508832061427967,12.738813948183749,0.9079605707172708
-1.9943088165953853,-0.7363720907655465,0.5644349143847379,-2.7646990667778586,7.743122273658519,15.486244547317026,0.9666625332139048
-1.9943088165953853,-0.7363720907655465,0.5644349143847379,-2.7646990667778586,7.743122273658519,15.486244547317026,0.9666625332139048
-1.9943088165953853,-0.7363720907655465,0.5644349143847379,-2.7646990667778586,7.743122273658519,15.486244547317026,0.9666625332139048
-1.9943088165953853,-0.7363720907655465,0.5644349143847379,-2.7646990667778586,7.743122273658519,15.486244547317026,0.9666625332139048
-2.712839395019551,-0.4968653782581647,-0.1882360687072987,-0.29391159123448185,2.8508832061427967,12.738813948183749,0.9079605707172708
-1.9943088165953853,-0.7363720907655465,0.5644349143847379,-2.7646990667778586,7.743122273658519,15.486244547317026,0.9666625332139048
-1.9943088165953853,-0.7363720907655465,0.5644349143847379,-2.7646990667778586,7.743122273658519,15.486244547317026,0.9666625332139048
-1.9943088165953853,-0.7363720907655465,0.5644349143847379,-2.7646990667778586,7.743122273658519,15.486244547317026,0.9666625332139048
-1.9943088165953855,-0.7363720907655465,0.5644349143847379,-2.7646990667778586,7.743122273658519,15.486244547317026,0.9666625332139048
-2.712839395019551,-0.4968653782581647,-0.1882360687072987,-0.29391159123448185,2.8508832061427967,12.738813948183749,0.9079605707172707
