,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T
0,1.0,0.17395330712343798,1.3862943611198906,2.995732273553991,0.3633720930232558,0.7267441860465116
1,1.0,0.13976194237515863,1.3862943611198906,2.995732273553991,0.34223134839151265,0.6844626967830253
2,1.0,0.14842000511827322,1.3862943611198906,2.995732273553991,0.35385704175513094,0.7077140835102619
3,1.0,0.11332868530700327,1.3862943611198906,2.995732273553991,0.33852403520649965,0.6770480704129993
4,1.0,0.23111172096338664,1.3862943611198906,2.995732273553991,0.3462603878116344,0.6925207756232687
5,1.0,0.131028262406404,1.3862943611198906,2.995732273553991,0.3324468085106383,0.6648936170212766
6,1.0,0.7929925155296614,-2.995732273553991,-1.3862943611198906,0.33222591362126247,0.6644518272425249
7,1.0,0.7747271675523681,-2.995732273553991,-1.3862943611198906,0.32320620555914675,0.6464124111182935
8,1.0,0.7839015438284094,-2.995732273553991,-1.3862943611198906,0.31094527363184077,0.6218905472636815
9,1.0,0.8064758658669485,-2.995732273553991,-1.3862943611198906,0.3071253071253071,0.6142506142506142
10,1.0,0.7561219797213337,-2.995732273553991,-1.3862943611198906,0.2963841138114997,0.5927682276229994
11,1.0,0.7654678421395714,-1.8971199848858813,-0.2876820724517809,0.33400133600534404,0.6680026720106881
12,1.0,1.6974487897568136,-0.2231435513142097,2.0794415416798357,0.35587188612099646,0.7117437722419929
13,1.0,1.7227665977411035,-0.2231435513142097,2.0794415416798357,0.36603221083455345,0.7320644216691069
14,1.0,1.7369512327330598,-0.2231435513142097,2.0794415416798357,0.37341299477221807,0.7468259895444361
15,1.0,1.7404661748405046,-0.2231435513142097,2.0794415416798357,0.3837298541826554,0.7674597083653109
16,1.0,1.7715567619105355,-0.2231435513142097,2.0794415416798357,0.39032006245121,0.78064012490242
29,1.0,1.665818245870208,-0.2231435513142097,2.0794415416798357,0.3620564808110065,0.724112961622013
30,1.0,1.6882490928583902,-0.2231435513142097,2.0794415416798357,0.37285607755406414,0.7457121551081283
47,1.0,3.299533727885655,-0.2231435513142097,2.0794415416798357,0.3878975950349108,0.7757951900698216
48,1.0,3.086486636822455,-0.2231435513142097,2.0794415416798357,0.3968253968253968,0.7936507936507936
63,1.0,3.0633909220278057,-0.2231435513142097,2.0794415416798357,0.5128205128205128,1.0256410256410255
64,1.0,3.380994674344636,-0.2231435513142097,2.0794415416798357,0.5165289256198347,1.0330578512396693
65,1.0,3.0633909220278057,-0.2231435513142097,2.0794415416798357,0.5263157894736842,1.0526315789473684
66,1.0,3.1612467120315646,-0.2231435513142097,2.0794415416798357,0.3927729772191673,0.7855459544383346
67,1.0,3.1945831322991562,-0.2231435513142097,2.0794415416798357,0.39872408293460926,0.7974481658692185
68,1.0,3.288401887516811,-0.2231435513142097,2.0794415416798357,0.40096230954290296,0.8019246190858059
84,1.0,4.2017030805426,-0.2231435513142097,2.0794415416798357,0.40192926045016075,0.8038585209003215
85,1.0,4.091005660956586,-0.2231435513142097,2.0794415416798357,0.41017227235438886,0.8203445447087777
94,1.0,4.085976312551584,-0.2231435513142097,2.0794415416798357,0.40096230954290296,0.8019246190858059
95,1.0,4.023564380161053,-0.2231435513142097,2.0794415416798357,0.415973377703827,0.831946755407654
96,1.0,4.14946386144318,-0.2231435513142097,2.0794415416798357,0.4244482173174873,0.8488964346349746
126,1.0,0.6626879730752367,-0.11878353598996698,1.3862943611198906,0.31308703819661865,0.6261740763932373
127,1.0,0.6523251860396901,-0.11878353598996698,1.3862943611198906,0.315059861373661,0.630119722747322
128,1.0,0.6780335427498971,-0.11878353598996698,1.3862943611198906,0.29069767441860467,0.5813953488372093
129,1.0,0.6678293725756554,-0.11878353598996698,1.3862943611198906,0.30193236714975846,0.6038647342995169
132,1.0,0.7793248768009977,-0.8119307165499123,1.3862943611198906,0.30413625304136255,0.6082725060827251
133,1.0,0.8153648132841944,-0.8119307165499123,1.3862943611198906,0.32113037893384716,0.6422607578676943
134,1.0,0.8415671856782185,-0.8119307165499123,1.3862943611198906,0.33489618218352313,0.6697923643670463
138,1.0,0.7608058290337602,-0.8119307165499123,1.3862943611198906,0.2944640753828033,0.5889281507656066
153,1.0,1.4655675420143985,0.47000362924573563,1.9740810260220096,0.3190810465858328,0.6381620931716656
154,1.0,1.4350845252893227,0.47000362924573563,1.9740810260220096,0.3107520198881293,0.6215040397762586
156,1.0,0.23901690047049992,0.20701416938432612,1.8196988379172965,0.3441156228492774,0.6882312456985548
157,1.0,0.28517894223366247,0.20701416938432612,1.8196988379172965,0.35335689045936397,0.7067137809187279
161,1.0,0.23901690047049992,0.20701416938432612,1.8196988379172965,0.3184713375796178,0.6369426751592356
162,1.0,0.25464221837358075,0.20701416938432612,1.8196988379172965,0.31133250311332505,0.6226650062266501
163,1.0,0.2700271372130602,0.20701416938432612,1.8196988379172965,0.2960331557134399,0.5920663114268798
164,1.0,0.28517894223366247,0.20701416938432612,1.8196988379172965,0.2826455624646693,0.5652911249293386
165,1.0,0.28517894223366247,0.20701416938432612,1.8196988379172965,0.27159152634437805,0.5431830526887561
170,1.0,1.6389967146756448,0.20701416938432612,1.8196988379172965,0.35486160397445,0.7097232079489
171,1.0,1.6486586255873816,0.20701416938432612,1.8196988379172965,0.3434065934065934,0.6868131868131868
172,1.0,1.6992786164338898,0.20701416938432612,1.8196988379172965,0.31645569620253167,0.6329113924050633
173,1.0,1.6582280766035324,0.20701416938432612,1.8196988379172965,0.2976190476190476,0.5952380952380952
178,1.0,0.1823215567939546,0.0,1.8718021769015913,0.16914749661705006,0.6765899864682002
179,1.0,0.27763173659827955,0.0,1.8718021769015913,0.16857720836142953,0.6743088334457181
187,1.0,0.6780335427498971,0.0,1.8718021769015913,0.17029972752043596,0.6811989100817438
188,1.0,0.131028262406404,0.0,1.8718021769015913,0.1667778519012675,0.66711140760507
189,1.0,0.11332868530700327,0.0,1.8718021769015913,0.16611295681063123,0.6644518272425249
190,1.0,0.12221763272424911,0.0,1.8718021769015913,0.16056518946692358,0.6422607578676943
191,1.0,0.1570037488096647,-0.6931471805599453,1.1786549963416462,0.1601537475976938,0.6406149903907752
192,1.0,0.16551443847757333,-0.6931471805599453,1.1786549963416462,0.16523463317911435,0.6609385327164574
194,1.0,0.28517894223366247,-0.6931471805599453,1.1786549963416462,0.16318537859007834,0.6527415143603134
195,1.0,0.3148107398400336,-0.6931471805599453,1.1786549963416462,0.16170763260025872,0.6468305304010349
197,1.0,0.1570037488096647,0.6931471805599453,2.5649493574615367,0.17458100558659218,0.6983240223463687
