Unnamed: 0,Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source,Primary_C,Secondary_C,Tertiary_C,Quaternary_C,Other_Atom,P_P,P_S,P_T,P_Q,S_S,S_T,S_Q,T_T,T_Q,Q_Q,P_H,S_H,T_H
1,CCCCCCCCCCCC,939,±1,6.31,±9.3,1.8019999999999998,21.0,77.19800000000002,1.59,Ar,544,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
9,CCCCCCCCCCCC,988,±1,6.46,±9.3,1.99,21.0,77.01,1.75,Ar,260,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
25,CCCCCCCCCCCC,869,±1,22.5,,1.123,20.77,78.107,1.0,N2,1040,Species,OH,±5,306.0,5.0,Stanford,n_Dodecane / Vasu_2010_thesis,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
27,CCCCCCCCCCCC,822,±1,23.3,,1.123,20.77,78.107,1.0,N2,805,Species,OH,±5,306.0,5.0,Stanford,n_Dodecane / Vasu_2010_thesis,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
30,CCCCCCCCCCCC,806,±1,25.0,,0.565,20.89,78.545,0.5,N2,1522,Species,OH,±5,306.0,5.0,Stanford,n_Dodecane / Vasu_2010_thesis,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
32,CCCCCCCCCCCC,979,±1,5.04,±9.3,2.138,21.0,76.862,1.88,Ar,306,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
45,CCCCCCCCCCCC,818,±1,26.9,,1.123,20.77,78.107,1.0,N2,881,Species,OH,±5,306.0,5.0,Stanford,n_Dodecane / Vasu_2010_thesis,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
49,CCCCCCCCCCCC,855,±1,25.9,,1.123,20.77,78.107,1.0,N2,875,Species,OH,±5,306.0,5.0,Stanford,n_Dodecane / Vasu_2010_thesis,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
58,CCCCCCCCCCCC,1657,,2.12,,0.0485,0.75,99.2015,1.0,N2,56,Speceis,CH,,430.0,15.3,Stanford,n_Dodecane_Nano,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
59,CCCCCCCCCCCC,1645,,2.13,,0.0428,0.7452,99.212,1.0,N2,91,Speceis,CH,,430.0,15.3,Stanford,n_Dodecane_Nano,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
67,CCCCCCCCCCCC,1249,,6.7,,0.57,21.0,78.43,0.5,N2,84,Speceis,CH,,430.0,15.3,Stanford,n_Dodecane_Nano,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
79,CCCCCCCCCCCC,1618,,2.14,,0.048,0.7635,99.1885,1.0,N2,96,Speceis,CH,,430.0,15.3,Stanford,n_Dodecane_Nano,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
82,CCCCCCCCCCCC,1243,,7.53,,0.39,21.0,78.61,0.34,N2,130,Speceis,CH,,430.0,15.3,Stanford,n_Dodecane_Nano,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
83,CCCCCCCCCCCC,1607,,2.17,,0.046,0.75,99.204,1.0,N2,84,Speceis,CH,,430.0,15.3,Stanford,n_Dodecane_Nano,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
97,CCCCCCCCCCCC,1583,,2.14,,0.045,0.75,99.205,1.0,N2,90,Speceis,CH,,430.0,15.3,Stanford,n_Dodecane_Nano,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
100,CCCCCCCCCCCC,1249,±1,6.23,±9.3,0.7572,21.0,78.2428,0.67,Ar,114,Speceis,CH,,430.0,15.3,Stanford,aerosol_shock_tube / aerosol_shock_tube_low pressure / Second_generation_confo / Second_Generation_shock_tube ,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
111,CCCCCCCCCCCC,1536,,2.17,,0.044000000000000004,0.75,99.206,1.0,N2,140,Speceis,CH,,430.0,15.3,Stanford,n_Dodecane_Nano,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
118,CCCCCCCCCCCC,1422,±1,15.5,,0.1,3.7,96.2,0.5,N2,30,Species,OH,±5,306.0,5.0,Stanford,n_Dodecane / Vasu_2010_thesis,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
120,CCCCCCCCCCCC,747,±1,26.0,,0.565,20.89,78.545,0.5,N2,2243,Species,OH,±5,306.0,5.0,Stanford,n_Dodecane / Vasu_2010_thesis,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
134,CCCCCCCCCCCC,1238,,6.7,,0.57,21.0,78.43,0.5,N2,109,Speceis,CH,,430.0,15.3,Stanford,n_Dodecane_Nano,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
139,CCCCCCCCCCCC,1528,,2.24,,0.047,0.75,99.20299999999999,1.0,N2,116,Speceis,CH,,430.0,15.3,Stanford,n_Dodecane_Nano,2.0,10.0,,,,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
149,CCCCC,1428,±0.7,1.62,±1,0.25,4.0,95.75,0.5,Ar,153,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2.0,3.0,,,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0
153,CCCCC,1397,±0.7,1.75,±1,0.25,4.0,95.75,0.5,Ar,232,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2.0,3.0,,,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0
167,CCCCCCC,1710,,3.75,,0.03,0.33,99.64,1.0,Ar,49,Species,OH,±5,306.7,8.9,Stanford,n_Alkane_Oxidation,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
168,CCCCCCC,909,±1.8,53.9,,1.874,20.6,77.52600000000002,1.0,N2,254,Species,OH,,306.7,5.0,Stanford,blend_surrogate_fuels,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
170,CCCCCCC,1432,±1,1.21,,0.4,8.8,90.8,0.5,Ar,110,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
180,CCCCCCC,806,±1.8,20.0,,1.874,20.6,77.52600000000002,1.0,N2,1377,Species,OH,,306.7,5.0,Stanford,blend_surrogate_fuels,2.0,5.0,,,,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0
